Dataset,n,d,Method,Target Coverage,Coverage (mean),Coverage (std),Avg Width (mean),Avg Width (std),Avg Width (orig),Median Width,Width Std,Worst-Bin Cov (mean),Worst-Bin Cov (std),Best-Bin Cov,Cov Gap Mean (mean),Cov Gap Mean (std),Cov Gap Max (mean),Cov Range
california_housing,20640,8,Global CQR,90%,0.9025032299741602,0.0056038189992086715,13.127422618865968,34.47406158434852,15.146203167486968,1.3521557807922364,682.38039098382,0.8799671030757255,0.014514436916903795,0.9173189984627241,0.012799008007134826,0.0052247964643619355,0.0247134786117837,0.03735189538699849
california_housing,20640,8,Localized CQR,90%,0.8929909560723515,0.00585294133979236,13.10440357739503,34.473135013911296,15.119691156415659,1.3270331975072622,682.3964599385858,0.8748795539682975,0.009102248689501923,0.908097167839508,0.012579116255357325,0.0036073319794559656,0.02533978493782444,0.03321761387121043
concrete,1030,8,Global CQR,90%,0.889967637540453,0.01643809074330137,1.786628007888794,0.12065079025469798,29.82861539885381,1.6995525598526,0.7093372404575348,0.828529878371232,0.03554372657333748,0.9419354838709678,0.03471496562665256,0.015009165094603908,0.07582760444209416,0.11340560549973558
concrete,1030,8,Localized CQR,90%,0.8559870550161813,0.03036730145681683,1.6453143001681731,0.12493175779631348,27.46447772144029,1.5679383352398872,0.7424120227386187,0.7835536753040718,0.042023483869562075,0.9078794288736118,0.05271073506081438,0.02556751127027123,0.11644632469592808,0.1243257535695399
bio,45730,9,Global CQR,90%,0.8995845178219988,0.0031270755630093106,2.1361896991729736,0.03115799453667224,13.068412716383055,2.289739990234375,0.6813926279544831,0.8824665940018004,0.011498912974648045,0.9115458351977841,0.009505065114802388,0.0036398682363097887,0.019694794276233486,0.029079241195983607
bio,45730,9,Localized CQR,90%,0.8978715649828704,0.004197373356159535,2.1228626234778587,0.03151588817180858,12.986884131237193,2.2810309529304504,0.6806672065276287,0.8856006915031,0.004962928130518473,0.9089520608514224,0.008158081161517146,0.0019486159677806591,0.015584352536910828,0.023351369348322625
community,1994,100,Global CQR,90%,0.9101836393989983,0.011415907176813855,2.047709560394287,0.13921879960654995,0.46632420290427057,1.8044198751449585,0.8158300340175628,0.8074999999999999,0.02775137634224453,0.9783333333333333,0.05926050420168068,0.012445504242021628,0.0975,0.1708333333333333
community,1994,100,Localized CQR,90%,0.8981636060100167,0.012714145418804515,1.9765554532806742,0.10255174639506735,0.4501305876248033,1.61189826130867,1.1437261809767343,0.8525,0.030516389039334263,0.9348459383753502,0.027707282913165265,0.012054757884726567,0.05500000000000001,0.08234593837535012
blog_data,52397,280,Global CQR,90%,0.899083969465649,0.0019487257044956431,0.22088617086410522,0.3968986272491909,8.318328150401193,0.06020161807537079,18.87145311832428,0.834382951653944,0.010342824827214523,0.9526081424936386,0.036162849872773545,0.005302173191305854,0.0662786259541985,0.11822519083969467
blog_data,52397,280,Localized CQR,90%,0.8452226463104326,0.010986226094009458,0.5638462904017936,0.3963999353379547,21.343500707471232,0.051563534210436045,19.245133476237225,0.7555343511450381,0.050392802445010154,0.9139312977099238,0.062245547073791374,0.01906036984407866,0.14446564885496185,0.1583969465648855
rf1,9005,64,Global CQR,90%,0.8995928941524796,0.006725270638449056,10.452302345633507,10.81451599706472,637.0729668984546,0.26366581320762633,527.496215263009,0.8109656329157253,0.038359157189220755,0.9622434449236668,0.050130690764701856,0.012015710874104565,0.08903436708427467,0.15127781200794138
rf1,9005,64,Localized CQR,90%,0.9072538860103627,0.009032471143767826,10.446349103622715,10.81390633568396,636.710555970136,0.2555273470468819,527.4964327633875,0.8576778257000068,0.0155280320706566,0.9498586294242486,0.03214527281440405,0.008775142429517385,0.055527144519750805,0.0921808037242418
rf2,7679,576,Global CQR,90%,0.9029079861111112,0.006950003200563799,0.47416768670082093,0.03303900645341913,27.9144028441629,0.26135715693235395,0.7053372919559479,0.8496331227011222,0.028640698803543217,0.9472630387626143,0.029488069414316698,0.009624289836638999,0.05989861359992456,0.09762991606149204
rf2,7679,576,Localized CQR,90%,0.846484375,0.00893939188433793,0.3603004233280848,0.018531075681218784,21.216253591958644,0.23370312713086605,0.4653965644838812,0.7108459869848156,0.029184372427361653,0.9229293596152031,0.06453352824672262,0.008003641273865677,0.1891540130151844,0.2120833726303876
scm1d,9803,280,Global CQR,90%,0.8995919755185312,0.007349554933495563,0.8526927947998046,0.02346049800284732,196.5189306682524,0.6953573346138,0.8773496091365814,0.8542101220793921,0.023608879180303275,0.9579931972789115,0.030877885959137468,0.011013283502938906,0.06031270572745225,0.10378307519951953
scm1d,9803,280,Localized CQR,90%,0.8960897653859231,0.008277524137206645,0.8431434241566833,0.024651680760664,194.3270034317,0.6666569143533707,0.9110959072648319,0.8675588741438851,0.014465238813519882,0.9335034013605442,0.02011024104038899,0.007226157129603593,0.04096676021851865,0.06594452721665918
scm20d,8966,61,Global CQR,90%,0.9007434944237918,0.008062716259762634,1.1269540429115295,0.03377110346986358,249.9860352128782,1.0094379305839538,0.5205999732017517,0.8594795539033457,0.02221481214621364,0.937360594795539,0.025918215613382894,0.011595853283831064,0.046840148698884754,0.07788104089219329
scm20d,8966,61,Localized CQR,90%,0.9001486988847583,0.009464891350006976,1.1235227912389518,0.03917352821635271,249.22184493919357,0.9846880836412311,0.5774727852844981,0.8825278810408921,0.01215448529685639,0.9189591078066914,0.013784386617100375,0.0028603188100427405,0.028810408921933085,0.03643122676579924
