regime,method,seed,coverage,avg_width,median_width,width_std,width_ratio_to_oracle,width_ratio_marginal,worst_bin_cov,best_bin_cov,coverage_gap_mean,coverage_gap_max,coverage_range,oracle_width,bandwidth_h,Q_global,Q_local_mean,Q_local_std
A1,Global,0,0.8996,3.345614433288574,3.2983617782592773,0.18616028130054474,1.0169946428687493,1.0169945758302046,0.869,0.914,0.012400000000000012,0.031000000000000028,0.04500000000000004,3.289707253902946,0.07368062997280775,0.03310855586542105,,
A1,Local,0,0.8978,3.3319388967475696,3.342118900882349,0.21682982965367115,1.0128375078951235,1.0128375078951233,0.865,0.922,0.02220000000000002,0.03500000000000003,0.05700000000000005,3.289707253902946,0.07368062997280775,,0.02627064739385773,0.12205142982305332
A1,Global,1,0.91,3.4326179027557373,3.4851531982421875,0.16598935425281525,1.0434417110033858,1.0434417526614992,0.896,0.924,0.012400000000000012,0.02400000000000002,0.028000000000000025,3.289707253902946,0.07368062997280775,0.07141664858494574,,
A1,Local,1,0.9022,3.3630840900918657,3.308309621178978,0.28719036070621157,1.0223049744325625,1.022304974432562,0.89,0.917,0.007800000000000007,0.017000000000000015,0.027000000000000024,3.289707253902946,0.07368062997280775,,0.03664979301552282,0.16901479053922353
A1,Global,2,0.9064,3.3712093830108643,3.3911399841308594,0.13384857773780823,1.0247748805804455,1.024774888103257,0.885,0.928,0.015600000000000013,0.028000000000000025,0.04300000000000004,3.289707253902946,0.07368062997280775,-0.0061370545350221285,,
A1,Local,2,0.9092,3.4172279686379685,3.4009484391904117,0.2632857723171029,1.0387635448667145,1.0387635448667143,0.89,0.932,0.013200000000000012,0.03200000000000003,0.04200000000000004,3.289707253902946,0.07368062997280775,,0.016872219280315015,0.15354411290379144
A1,Global,3,0.9108,3.436825752258301,3.4168853759765625,0.11196214705705643,1.044720862988545,1.0447208480878691,0.881,0.927,0.018400000000000017,0.027000000000000024,0.04600000000000004,3.289707253902946,0.07368062997280775,0.08691028346415774,,
A1,Local,3,0.907,3.390264493660225,3.3926056734344496,0.27725676186993964,1.030567230454314,1.0305672304543136,0.893,0.927,0.009800000000000008,0.027000000000000024,0.03400000000000003,3.289707253902946,0.07368062997280775,,0.06362961124403706,0.16264794509802058
A1,Global,4,0.8868,3.2269115447998047,3.2533509731292725,0.16717080771923065,0.9809114251029061,0.9809114598180005,0.864,0.903,0.014400000000000013,0.03600000000000003,0.039000000000000035,3.289707253902946,0.07368062997280775,0.00029222585460781975,,
A1,Local,4,0.8894,3.23071692476979,3.1916900477801207,0.22306766046026905,0.9820682131933874,0.982068213193387,0.866,0.907,0.014200000000000013,0.03400000000000003,0.041000000000000036,3.289707253902946,0.07368062997280775,,0.0021950059777057257,0.11485255327715983
A1,Global,5,0.9088,3.3516807556152344,3.3067855834960938,0.21669144928455353,1.0188386414808774,1.0188386068817408,0.884,0.94,0.015599999999999992,0.039999999999999925,0.05599999999999994,3.289707253902946,0.07368062997280775,0.011228913821621474,,
A1,Local,5,0.9052,3.285600928713623,3.264030248033513,0.2254957298135915,0.9987517657735502,0.9987517657735497,0.888,0.922,0.012400000000000012,0.02200000000000002,0.03400000000000003,3.289707253902946,0.07368062997280775,,-0.021811108892290276,0.16832334596811258
